"","icc_x","icc_y","corl1","corl2","nobs","B.bet.mod1","se.bet.mod1","p.bet.mod1","B.with.mod1","se.with.mod1","p.with.mod1","int.var.mod1","resid.var.mod1","B.bet.mod2","se.bet.mod2","p.bet.mod2","B.with.mod2","se.with.mod2","p.with.mod2","int.var.mod2","se.intvar.mod2","p.intvar.mod2","B.bet.mod3","se.bet.mod3","p.bet.mod3","B.with.mod3","se.with.mod3","p.with.mod3","int.var.mod3","se.intvar.mod3","p.intvar.mod3","newlat.var.mod3","se.newlatvar.mod3","p.newlatvar.mod3","B.bet.mod4","B.bet.mod5","B.bet.mod6","se.bet.mod6","p.bet.mod6","B.with.mod6","se.with.mod6","p.with.mod6","int.var.mod6","resid.var.mod6","B.bet.mod7","B.with.mod7","B.bet.mod1.sd","B.bet.mod2.sd","B.bet.mod3.sd","B.bet.mod4.sd","B.bet.mod6.sd","B.bet.mod5.sd","B.bet.mod7.sd","sum.1","sq.sum1","RMSE.mod1","sum.2","sq.sum2","RMSE.mod2","sum.3","sq.sum3","RMSE.mod3","sum.4","sq.sum4","RMSE.mod4","sum.5","sq.sum5","RMSE.mod5","sum.6","sq.sum6","RMSE.mod6","sum.7","sq.sum7","RMSE.mod7","SEratio.mod1","SEratio.mod2","SEratio.mod3","SEratio.mod6","bias.mod1","bias.mod2","bias.mod3","bias.mod4","bias.mod5","bias.mod6","bias.mod7"
"79",0.05,0.1,0.2,0.5,12,0.325741886057295,0.190412258145041,0.488789237668161,0.202715238815402,0.0591587605068568,0.0176308333612339,0.0305572176850678,0.918990656248997,0.338027996180337,3.31744430147869,0.15695067264574,0.202608536149378,0.0591375506947197,0.0173622824381352,0.044890347649272,0.0359898268221926,0.312208973857763,0.3261113727371,0.179618640214967,0.569506726457399,0.202715255776174,0.059141218647497,0.017358134256668,0.0558211521234568,0.0702079325936029,0.495379231888985,0.126000773303379,0.0356383995512461,0.000406951627961755,0.45812738560977,0.59793995370328,0.32396976505176,0.198161622275741,0.506726457399103,0.203914116804207,0.0648487941154359,0.0267210743736589,0.0324492577672411,14.1998907383223,0.432390932183255,0.202715238815402,0.18745219134828,1.57509260219862,0.187025079354191,0.319283874929646,0.196156029556705,0.465599536842359,0.206039321373072,14.5723014684582,3.81736839569594,0.241431575966842,556.613898015946,23.5926661913389,1.49213122481362,14.5081082244288,3.80895106616359,0.240899217304073,23.0221562307996,4.79814091402072,0.303461076454952,46.4165006985714,6.8129656316887,0.430889780331683,15.4519572471351,3.93089776604977,0.248611803799699,10.4437187227005,3.23167429093658,0.204389028303385,1.01579104930953,2.10619000866868,0.960398684685503,1.01022447652294,-0.174258113942705,-0.161972003819663,-0.1738886272629,-0.0418726143902302,0.0979399537032796,-0.17603023494824,-0.0676090678167446
"80",0.1,0.1,0.2,0.5,12,0.369658177779461,0.178261792603711,0.670886075949367,0.201395934346007,0.0606421640485215,0.0224296206864459,0.0565123245240336,0.900983538407194,0.487813811923577,1.33812392142949,0.464135021097046,0.201242479773153,0.0605353600970478,0.0222315300629523,0.0991868467394146,0.0496830548485165,0.0942594698476425,0.36979148542191,0.170683831153632,0.708860759493671,0.201395982403549,0.0605438915297158,0.0220242375182088,0.0680163275239373,0.0827788689658998,0.487583131268311,0.174637557413352,0.0493949643240211,0.000406952425503436,0.432007751187625,0.517100567191189,0.368653895387792,0.182358200294047,0.628691983122363,0.202499624315065,0.0663817202108635,0.0334443996467994,0.0555253259502365,14.8158776455195,0.452888688349774,0.201395934346007,0.192849475970136,1.15724964742775,0.192681736777575,0.254814978455779,0.202114616609718,0.341456785538552,0.206340223925896,12.8034479870273,3.57819060238932,0.226304644115204,316.09270742093,17.7789962433465,1.12444245281105,12.779954370945,3.57490620449613,0.226096920553509,16.4192770638785,4.05207071308961,0.256275453868516,27.3514212239262,5.22985862370353,0.330765301831532,13.7293515160031,3.70531395646888,0.234344630969033,10.5740197077511,3.25177177977654,0.205660105103067,0.92435715319919,1.15629667669701,0.885832949236195,0.902251422252054,-0.130341822220539,-0.0121861880764229,-0.13020851457809,-0.0679922488123745,0.0171005671911886,-0.131346104612208,-0.0471113116502257
"81",0.2,0.1,0.2,0.5,12,0.412345769363414,0.166640935059571,0.786008230452675,0.205509187698204,0.0610597185865251,0.0180945242887905,0.106810669306818,0.817329191277975,0.500312114093324,0.239360207189483,0.711934156378601,0.205407639330805,0.0609508213458198,0.0177669724482306,0.196867331831476,0.0749737402840801,0.016293199872492,0.412393237163635,0.159798181573248,0.806584362139918,0.205509131649678,0.0609500507213794,0.0177154758625443,0.0711681663435634,0.101784291243818,0.544600706164142,0.26460335881203,0.0748410075142109,0.000406945355691113,0.439775274189254,0.484100995938305,0.412831228836966,0.168321232999013,0.769547325102881,0.202845452661419,0.067105355228978,0.0332269832163602,0.100236133641598,15.1193130754922,0.472897385077897,0.205509187698204,0.18134816911379,0.284037110150211,0.181345208032115,0.196635448242678,0.183095624770064,0.222579347413882,0.191902139039061,9.82572553078707,3.13460133522384,0.198249595518246,19.5238770179762,4.41858314598427,0.279455735442851,9.82344405264716,3.13423739570683,0.198226577962161,10.238416156907,3.19975251494659,0.202370117921663,12.0504840808633,3.4713807167845,0.219549393812539,9.95921979386136,3.1558231563035,0.199591781332412,9.09049236595427,3.01504433896987,0.190688147150831,0.918900564995552,0.842707514743052,0.881182267275288,0.919307783626148,-0.0876542306365856,0.000312114093324101,-0.0876067628363653,-0.0602247258107463,-0.0158990040616949,-0.0871687711630341,-0.0271026149221033
"82",0.05,0.1,-0.2,-0.5,16,-0.338356777950432,0.183135003895721,0.569565217391304,-0.199146410606101,0.0508414138117418,0.00552098731730256,0.0305467711801368,0.920956759281119,-0.575474887752135,0.972977496270212,0.291304347826087,-0.198966886417563,0.0508110337101146,0.00548491600646238,0.0499359472498397,0.0313415012749874,0.201659781759301,-0.338592933328001,0.173978769238507,0.630434782608696,-0.199146377192285,0.0508110056149683,0.00540306399935717,0.0550745133527888,0.0657902145891662,0.477572440555018,0.110311207114079,0.0312007170962859,0.000406951531248192,-0.419672119422013,-0.529520988037408,-0.34260064730209,0.188835057964431,0.556521739130435,-0.200669015785874,0.0541790802470679,0.00795603140396705,0.0319501654208292,17.8810643181937,-0.279691990387775,-0.199146410606101,0.181722339127728,0.803161113413282,0.181998873495805,0.238896718137765,0.19102230877901,0.3249352649508,0.200460245945407,13.5718311391643,3.68399662583509,0.23299640460028,149.030705765407,12.2078133080993,0.772089906074174,13.5773175688885,3.68474118071928,0.233043494385821,14.5534967351466,3.81490455124982,0.24127574876184,23.8466604808455,4.88330425847555,0.308847279287647,14.0542485741752,3.74889964845355,0.237101232170355,20.3653994296679,4.51280394318963,0.285414781885367,1.00777375404023,1.21143501598981,0.95593322033676,0.98854976244105,0.161643222049568,-0.0754748877521352,0.161407066671999,0.0803278805779866,-0.029520988037408,0.15739935269791,0.220308009612225
"83",0.1,0.1,-0.2,-0.5,16,-0.402582650794837,0.177022269214735,0.690677966101695,-0.194539213903923,0.0516997693128509,0.00854239137954338,0.0576340379757573,0.890118789177882,-0.534051764320492,0.618871619088985,0.563559322033898,-0.194540723571582,0.0516303903754986,0.00835817495563895,0.0951419489169073,0.0430042421988911,0.0670729475450022,-0.402633880665517,0.169698206100393,0.716101694915254,-0.194539241542911,0.0516331370588033,0.00836241041582155,0.0653599024789868,0.07704827380187,0.481981045084455,0.151489137221887,0.0428475830516827,0.000406950742345281,-0.467743314096332,-0.541756913155013,-0.406159635606428,0.17912646193909,0.686440677966102,-0.192771627978053,0.0551964744208962,0.0150227734093349,0.0550642351014755,18.4911103610729,-0.361094279501527,-0.194539213903923,0.193093164408994,0.753890620212892,0.193003788002337,0.286578472772975,0.195302576237817,0.372387969385334,0.207225727863204,11.0016410058215,3.31687217206534,0.209777415427128,133.836148148758,11.5687574159353,0.731672462646389,10.9911766549086,3.31529435418766,0.2096776254626,19.5454534817444,4.42102403089425,0.279610110559289,32.8591904919615,5.73229365018589,0.362542083030158,11.0418469285315,3.32292746362774,0.2101603856918,14.6450606459614,3.82688654730727,0.242033556730974,0.916771288908915,0.820903725946639,0.87924805962015,0.91717408643381,0.0974173492051632,-0.0340517643204924,0.097366119334483,0.0322566859036684,-0.0417569131550127,0.0938403643935717,0.138905720498473
"84",0.2,0.1,-0.2,-0.5,16,-0.446121025662653,0.16378685758787,0.816326530612245,-0.203552987972459,0.0524146503724051,0.0105660671676791,0.102632004343252,0.823484262919096,-0.527278163256353,0.217494471506172,0.795918367346939,-0.203539829324621,0.0523459310048475,0.0104255163363481,0.189487212146618,0.0680734184809484,0.00976405496927159,-0.4461188804543,0.15708770986243,0.83265306122449,-0.20355298993805,0.0523449944080164,0.0104280699198148,0.0812020425027494,0.0970249560088641,0.476724211366725,0.240472555090456,0.0680159785182417,0.000406955988839774,-0.469740724329454,-0.508519037395833,-0.446430041928323,0.164943674722503,0.820408163265306,-0.201333342807548,0.0561147622856065,0.012276499101118,0.0982166067095382,19.1512145704958,-0.420736814202864,-0.203552987972459,0.185968869392848,0.27891011019332,0.185932707923687,0.199686885861157,0.189717762918131,0.223169227215303,0.195721216443537,9.14981982304691,3.02486690997255,0.191309381087775,19.163271351311,4.37758738934028,0.276862936134912,9.14659502336078,3.02433381480299,0.191275665188866,9.95379180412815,3.154963043227,0.199537383005072,12.1700795996608,3.48856411717784,0.22063616747633,9.48533681417638,3.0798274000626,0.194785387687849,10.8861077667019,3.29941021497811,0.208673024291133,0.880721908578582,0.779801317906408,0.844863239053692,0.869416085164789,0.0538789743373474,-0.0272781632563527,0.0538811195457002,0.0302592756705465,-0.0085190373958326,0.0535699580716772,0.0792631857971359
"85",0.05,0.1,0,-0.5,16,-0.211048959849776,0.191367640093939,0.302631578947368,-0.00200503260691641,0.0520838455445977,0.490140150925548,0.0319074455072001,0.955321316753009,-0.54494502364668,2.94503958176584,0.171052631578947,-0.0019034528621015,0.0520404924465168,0.489195024826346,0.0457435094652689,0.0300282612936224,0.236129935272916,-0.211212170257687,0.182015560810921,0.333333333333333,-0.00200502649906842,0.0520445611429957,0.489490229495415,0.0548376742344969,0.0643810238940714,0.476269188858588,0.10572220076383,0.0299027467572109,0.000406950455286729,-0.2890433573861,-0.3742875295082,-0.210697047054014,0.195622637590627,0.263157894736842,-0.000533534433292429,0.0556207840713941,0.476710011747131,0.0316802409998386,18.8443277392773,-0.139479252177332,-0.0020050326069164,0.206655689853445,1.96258048491724,0.206467537779802,0.412182726562575,0.211921228668848,0.608198379121788,0.2277373013556,28.7307287534667,5.36010529313247,0.339002824492462,874.801502843941,29.5770435108707,1.87061647896509,28.6915852420646,5.35645267337112,0.338771812535014,48.7126909717266,6.97944775549804,0.441419034350476,86.0288868988224,9.27517584193542,0.586613627181716,29.2774411024216,5.41086324928117,0.342213039508559,41.4075389945424,6.43486899591145,0.406976849437618,0.926021636421683,1.50059557016844,0.88156987179767,0.923091276977781,0.288951040150224,-0.0449450236466795,0.288787829742313,0.2109566426139,0.1257124704918,0.289302952945986,0.360520747822668
"86",0.1,0.1,0,-0.5,16,-0.339318246513724,0.178815545598815,0.582644628099174,0.00825618611518836,0.052415233281712,0.518469699809298,0.0599354787630477,0.925314898090918,-0.637411183129357,0.488643703896368,0.574380165289256,0.00826085817438805,0.0523403982563254,0.518406182736833,0.0969438182689018,0.0436928197377011,0.0584120645221917,-0.339386700888628,0.171487901659373,0.636363636363636,0.00825614235048358,0.0523463158451095,0.517640098338158,0.0592438960536669,0.0777677433774895,0.51199975998743,0.154182664485242,0.0436094451118475,0.000406952292629567,-0.383305838178569,-0.448640325195593,-0.340636638092582,0.181740408568437,0.56198347107438,0.00979348434843854,0.0558115633378699,0.53073073758667,0.0588383106381681,18.9685798628671,-0.295389154263122,0.00825618611518836,0.200324159725525,0.666232702602636,0.200339892219825,0.241520767069627,0.202958015948596,0.30593846253317,0.214144656146537,15.9193817903354,3.98990999777381,0.252344065040852,111.541113024408,10.5613026196776,0.667955426729684,15.9155783599791,3.9894333382047,0.252313918442714,17.3535213347181,4.16575579393681,0.263465529697667,23.0993159889578,4.80617477719629,0.303969182575851,16.0732582839687,4.00914682743957,0.253560708974941,21.1832367979695,4.60252504588182,0.291089242659151,0.892630952970526,0.733442987694064,0.855984795435583,0.895458145464267,0.160681753486276,-0.137411183129357,0.160613299111372,0.116694161821431,0.0513596748044075,0.159363361907418,0.204610845736878
"87",0.2,0.1,0,-0.5,16,-0.386131637628352,0.167223051886077,0.702040816326531,-0.00516434156071039,0.0531804457909778,0.493102444637199,0.109723442881054,0.845248049260804,-0.502586211497642,0.220113884538896,0.742857142857143,-0.00509797407971707,0.0531079722308998,0.492607400211632,0.192790962842031,0.0688608138389565,0.00859250500887611,-0.386206920230472,0.160387238401253,0.746938775510204,-0.0051643145320965,0.053109651975681,0.492249238719942,0.0814798622396816,0.0975475143715546,0.485849486662743,0.243313110055583,0.0688193520139538,0.000406952437770298,-0.405337976738038,-0.437109653661011,-0.387709286298391,0.167899088380023,0.706122448979592,-0.00335097068172264,0.056929809068208,0.510494234657241,0.104964286300397,19.8083919788048,-0.3580040743214,-0.00516434156071038,0.178340931930981,0.247950892613516,0.178302301518482,0.18846665649749,0.18052146219809,0.205869353241414,0.188099629091246,10.9372100400449,3.30714530071554,0.209162234067672,15.0026720961009,3.87332829696901,0.244970790880063,10.9296493431776,3.30600201802382,0.209089926521366,10.8622222379395,3.29578856086666,0.208443970773342,11.3102774447316,3.36307559307424,0.212699576348724,11.0407266626354,3.32275889324449,0.210149724364657,13.5729753060645,3.6841519113718,0.233006225719954,0.93765940367965,0.887731769056342,0.899524218337851,0.930078265130515,0.113868362371648,-0.00258621149764227,0.113793079769528,0.0946620232619617,0.0628903463389892,0.112290713701609,0.1419959256786
"88",0.05,0.1,0.2,-0.5,16,-0.112148136436593,0.192129253302693,0.138528138528139,0.201468766998168,0.0509489242290181,0.00383981920390905,0.0348058576206677,0.927183890555348,-0.829502339810825,2.18750128125318,0.134199134199134,0.20155370804995,0.050898687879214,0.00366098741817738,0.0447148417152582,0.0298371820733633,0.22957930469132,-0.112191898746754,0.183270019051811,0.186147186147186,0.201468725529828,0.0509018873213797,0.00372709490809327,0.0516440743224603,0.0641701792314853,0.501221014088814,0.105021367135173,0.0297045300018817,0.000406952772366373,-0.139992053844012,-0.182361861974556,-0.109560694361696,0.195278062338242,0.16017316017316,0.203336202373893,0.0544482182894623,0.00607310173870689,0.0340879900758998,18.1878467397091,-0.0298782154849159,0.201468766998169,0.197019974405725,1.50015870697942,0.196908374556303,0.261616324535103,0.199541170600048,0.343569678436972,0.217837250414922,43.6769948964909,6.60885730641016,0.417980836386028,542.689597547347,23.2956991212401,1.47334937818203,43.6590423380499,6.6074989472606,0.417894926210165,45.6808349097985,6.75875986478278,0.427461506616905,49.5800029980477,7.04130690980358,0.445331350785222,44.3721347862918,6.66124123465678,0.421293886906952,61.9685532793912,7.87201075198651,0.497869674832244,0.97517652147817,1.45817990528331,0.930737554787991,0.978635445261817,0.387851863563407,-0.329502339810825,0.387808101253246,0.360007946155988,0.317638138025444,0.390439305638304,0.470121784515084
